[1]陈丹丹,徐帆洪,高丹. 表达NY-ESO-1重组耻垢分枝杆菌的制备及应用[P]. 上海：CN102839186A,2012-12-26.
[28]李宰圭,宋浩俊,高钟声,李熙圭,金泳三,金洪宇,张纯花,林顺熙,崔章植,金正皓,金世源. 激酶抑制剂[P]. 美国：CN102811619A,2012-12-05.

[29]默哈迈德·阿玛蒂安,温迪·泰勒,桑·范,俞磊. 碳水化合物-聚氨基酸-药物轭合物[P]. 日本：CN102811742A,2012-12-05.

[30]金坚,马鑫,陈蕴,何冬旭,蔡燕飞. 转录因子NFATC3作为药物靶点在逆转肿瘤多药耐药中的应用[P]. 江苏：CN102805867A,2012-12-05.

[31]杨举伦,陈玥,甄时建,周云刚,赵稳兴. 一种广谱抗人p21Ras蛋白的单克隆抗体杂交瘤细胞株KGH-R1及单克隆抗体[P]. 云南：CN102796707A,2012-11-28.

[32]杉山治夫. 癌抗原辅助肽[P]. 日本：CN102803487A,2012-11-28.

[33]J.科拉德,O.霍尔科瓦谢尔曼. 通过抑制针对三重四脯氨酸(TTP)的天然反义转录物来治疗TTP相关疾病[P]. 美国：CN102803492A,2012-11-28.

[34]P·菲雷,P·因巴赫,R·马,F·施陶费尔. 用于治疗增殖性疾病的1H-咪唑并[4,5-c]喹啉酮化合物[P]. 瑞士：CN102803259A,2012-11-28.

[35]久保田丽夫. 抗系统ASC氨基酸转运蛋白2(ASCT2)抗体[P]. 日本：CN102803294A,2012-11-28.

[36]J·梅辛格,U·舍恩,B·胡森,H-H·托勒,P·科斯基米耶斯,L·卡利奥. 雌三烯衍生物及其作为17β-羟基类固醇脱氢酶抑制剂的用途[P]. 德国：CN102796161A,2012-11-28.

[37]J·R·托马斯,G·佩里科特·莫尔,C·卡拉梅里,G·米内托,M·贝利尼. HEDGEHOG途径拮抗剂及其治疗应用[P]. 意大利：CN102803246A,2012-11-28.

[38]M·G·博克,C·高尔,V·R·古马迪,S·森古普塔. 作为CYP17的抑制剂的1,3-二取代的咪唑烷-2-酮衍生物[P]. 瑞士：CN102803250A,2012-11-28.

[39]R.戈克黑尔,K.C.马什,石屹. 稳定的纳米颗粒药物悬浮液[P]. 美国：CN102802609A,2012-11-28.

[40]G·乔治欧,E·斯通. 用甲硫氨酸-γ-裂合酶加工的酶和其药理学制备物[P]. 美国：CN102791856A,2012-11-21.

[41]冯志强,陈晓光,田康,李燕,唐克. 邻吡啶酰肼衍生物及其制法和药物组合物与用途[P]. 北京：CN102786469A,2012-11-21.

[42]M·温纳斯达尔,P·罗恩斯塔德,程爱平,S·戈登,T·艾普尔克维斯特,L·哈格伯格. 雌激素受体配体[P]. 瑞典：CN102791688A,2012-11-21.

[43]R·霍尔库姆,K·铃木,R·J·豪尔特,P·R·舍巴哈,D·A·麦克劳德,M·D·申杰罗维奇,K·M·亚戈,M·G·布萨维奇,A·J·韵盖,B·理查兹,P·L·巴特尔,D·A·韦特施泰因. 作为TBKL和/或IKKε抑制剂的氨基-嘧啶化合物[P]. 美国：CN102791697A,2012-11-21.

[44]张立新,格雷厄姆·彼得·特雷维特,休斯·米尔,弗兰克·布尔坎普,蒂莫西·哈里森,安德鲁·约翰·维尔金森,查尔斯-亨利·法布里蒂乌斯. AKT活性的抑制剂[P]. 英国：CN102791708A,2012-11-21.

[45]P.贝尔弗格,P.格莱尔,G.马科特,S.奥康纳,O.杜克洛斯. 芳基磺酰胺吡啶-吡啶酮衍生物、其制备和其治疗用途[P]. 法国：CN102791709A,2012-11-21.

[46]鲁本·阿尔瓦雷茨桑切斯,康拉德·辈莱切,亚历山大·弗洛尔,罗卡·戈比,卡特里·格勒布科茨宾登,马蒂亚斯·克尔纳,贝恩德·库恩,延斯-乌韦·彼得斯,马库斯·鲁道夫. N-(咪唑并嘧啶-7-基)-杂芳基酰胺衍生物及其作为PDE10A抑制剂的用途[P]. 瑞士：CN102791714A,2012-11-21.

[47]于强,谭京. 用于治疗癌症的方法和组合物[P]. 新加坡：CN102792160A,2012-11-21.

[48]O·埃雷滋,P·纳卡彻. 小分子嘧啶衍生物及其使用方法[P]. 以色列：CN102791273A,2012-11-21.

[49]O.C.法罗克扎德,N.科利施蒂,S.达尔,S.J.利帕德,R.S.兰格,P.M.瓦伦西亚. 用于多种药物递送的粒子[P]. 美国：CN102791294A,2012-11-21.

[50]张毓,张君,徐清问,赵伟,王晓松. 肿瘤抗原及其应用[P]. 北京：CN102776269A,2012-11-14.

[51]刘世旭,肖华胜,李明辉,邵祥强,林剑. 检测DNA甲基化的方法和装置[P]. 上海：CN102776270A,2012-11-14.

[52]黄建华. 一种抗CD3/抗CD133双特异性抗体及该双抗装载的CIK细胞[P]. 北京：CN102775494A,2012-11-14.

[53]柴康弘,吉冈弘树,山元进司,工藤爱子,大泽龙司,黄宝星,中村佑辅,远藤启吾. 抗CDH3抗体及其用途[P]. 日本：CN102781964A,2012-11-14.

[54]让-保罗·卡斯泰恩,米歇尔·德默勒,克里斯蒂安·切,安东尼·雷吉纳. 用于转运治疗剂的组合物和方法[P]. 加拿大：CN102781965A,2012-11-14.

[55]南发俊,陈飞,张仰明,李佳,周宇波,苏明波,丁健,蒙凌华,谢欣,王识贤. 一类噻唑类化合物及其制备方法和用途[P]. 上海：CN102775368A,2012-11-14.

[56]顾康春,顾华盾. 一种控制手术后癌症复发的药物[P]. 辽宁：CN102772620A,2012-11-14.

[57]P·昆,A·考拉特卡,J·坤肯,D·马里努茨,X·杨,J·R·史图尔普纳格. 用非稀有细胞检测稀有细胞的方法[P]. 美国：CN102782498A,2012-11-14.

[58]小林道元,田中祥德,金森智子,郑基晚,坂井义治,冈部宽. 胃癌检测用的标志物和胃癌检测方法[P]. 日本：CN102782499A,2012-11-14.

[59]谢东,李晶晶,印宏坤,刘将. 一种新的肝癌分子标志物视黄酸受体应答蛋白2[P]. 上海：CN102772782A,2012-11-14.

[60]书明·聂,亚伦·莫斯,迈克尔·曼奇尼. 用于在诊断或治疗程序中提供实时解剖学指导的系统和方法[P]. 美国：CN102770071A,2012-11-07.

[61]R·拉森,P·尼格伦,J·古博,G·维斯特曼. 肿瘤治疗剂和方法[P]. 瑞典：CN102770137A,2012-11-07.

[62]V·舒尔策,M·科皮茨,D·科泽蒙德,H·斯基洛克,B·巴德尔,P·利瑙,A·M·温内尔,H·布里姆,S·霍尔顿,G·西迈斯特,S·佩克特,U·伯默. 三唑并吡啶[P]. 德国：CN102762557A,2012-10-31.

[63]G.拉萨尔,V.马丁,G.麦科特,C.沃尔-查利尔. 吡啶并吡啶酮衍生物、其制备及治疗用途[P]. 法国：CN102762558A,2012-10-31.

[64]R.A.小加勒莫,D.R.阿蒂斯,X.M.叶,D.L.奥贝尔,A.P.特隆,S.鲍尔斯,R.K.霍姆,Y-L.朱,R.J.奈茨,J.西利,M.阿德勒,P.贝罗扎,J.P.安德森. 作为POLO样激酶的抑制剂的蝶啶酮[P]. 美国：CN102762568A,2012-10-31.

[65]N·布拉奎尔,S·多,D·达德利,A·J·福克斯,R·A·戈德史密斯,R·希尔德,T·赫夫龙,A·科莱斯尼科夫,C·恩达巴库,A·G·奥利维罗,S·普赖斯,S·斯塔本,魏斌清. 苯并氧杂*PI3K抑制剂化合物和使用方法[P]. 瑞士：CN102762574A,2012-10-31.

[66]N·布拉奎尔,S·多,D·达德利,A·J·福克斯,R·希尔德,T·赫夫龙,M·琼斯,A·科莱斯尼科夫,C·努巴库,A·G·奥利维罗,S·普赖斯,S·斯塔本,王岚. 苯并氧杂氮杂*PI3K抑制剂化合物和使用方法[P]. 瑞士：CN102762576A,2012-10-31.

[67]朱利安·亚历山大·巴登,安格斯·基得利-拜尔德. 针对非功能性低聚P2X7受体的抗体[P]. 澳大利亚：CN102762595A,2012-10-31.

[68]D·T·欧哈根,M·辛格,S·简恩,S·科玛莱迪. 含苯并萘啶的疫苗[P]. 瑞士：CN102762226A,2012-10-31.

[69]迈克尔.E.琼格,刘东沅,查尔斯.L.索耶斯,克里斯.特兰. 二芳基硫代乙内酰脲化合物[P]. 美国：CN102755318A,2012-10-31.

[70]D·斯基宾斯基,S·简恩,M·辛格,D·欧哈根. 免疫增强化合物的均匀悬液及其用途[P]. 瑞士：CN102762206A,2012-10-31.

[71]M·哈达齐,J·A·特兰,F·皮埃尔,C·F·里根,N·B·拉法尔勒,S·拉伍拉,D·M·利克曼. 作为CK2抑制剂的吡唑嘧啶和相关杂环[P]. 美国：CN102762208A,2012-10-31.

[72]P·J·雷德曼,K·M·吉雷斯,F·C·卡里诺乌斯基. 表皮生长因子受体配体的调节[P]. 澳大利亚：CN102762214A,2012-10-31.

[73]李少伟,魏旻希,王大宁,顾颖,张军,夏宁邵. 人乳头瘤病毒型别杂合病毒样颗粒及其制备方法[P]. 福建：CN102747047A,2012-10-24.

[74]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102747140A,2012-10-24.

[75]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102747141A,2012-10-24.

[76]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102747142A,2012-10-24.

[77]阿伦.K.张伯伦,约翰.R.德斯贾莱斯,谢尔.B.卡基,格雷戈里.A.拉扎尔,约斯特.维尔梅特,肖恩.C.约德. 对FcRn的结合被改变的Fc变体[P]. 美国：CN102746404A,2012-10-24.

[78]I.阿里亚加斯,S.格拉德尔,J.冈兹纳,S.马蒂厄,J.鲁道夫,文朝阳,S.M.温格洛斯基. RAF抑制剂化合物及其使用方法[P]. 美国：CN102753554A,2012-10-24.

[79]莫妮卡·贝纳,乌尔里希·布林克曼,盖伊·乔治,雷姆科·阿尔伯特·格里普,萨拜因·伊姆霍夫-容,阿妮塔·卡夫利,休伯特·藤贝尔格,克里斯蒂安·克莱因,约尔格·托马斯·雷古拉,沃尔夫冈·谢弗,于尔根·迈克尔·尚策,维尔纳·朔伊尔,斯特凡·泽贝尔,马库斯·托马斯. 双特异性抗-VEGF/抗-ANG-2抗体[P]. 瑞士：CN102753577A,2012-10-24.

[80]章美云. 抗-IGF-IR抗体及其用途[P]. 香港：CN102753581A,2012-10-24.

[81]M·麦特尔西,J-X·段,H·焦,J·凯泽曼,S·阿蒙斯. 氨基磷酸酯烷化剂前体药物[P]. 美国：CN102746336A,2012-10-24.

[82]J·斯温尼恩. 磷脂轮廓分析和癌症[P]. 比利时：CN102753974A,2012-10-24.

[83]王凤良,陆澄,殷虹,陈飞. 一种组配式皮肤拉钩[P]. 江苏：CN102743200A,2012-10-24.

[84]安格里卡·伯格(已逝). 靶向癌症干细胞的耐药性癌症疗法[P]. 开曼群岛：CN102753164A,2012-10-24.

[85]R·M·克鲁克,M·J·格雷厄姆,R·李,K·W·多比. 血管生成素样3表达的调节[P]. 美国：CN102753186A,2012-10-24.

[86]D·何,T·奥拉夫森,A·李普曼. 靶向人前列腺特异性膜抗原的J591微抗体和双抗体[P]. 美国：CN102753194A,2012-10-24.

[87]陈顺基,朱宝美. 靶向药物递送体系检测及治疗的纳米级人造油体[P]. 台湾：CN102743324A,2012-10-24.

[88]雷晓光,张秀国. 一类具有抗肿瘤活性的喜树碱衍生物[P]. 北京：CN102731516A,2012-10-17.

[89]罗摩克里希纳·尼罗吉,阿卜杜勒·拉希德·穆罕默德,斯里尼瓦斯·维拉马拉,斯里尼瓦萨·拉奥·拉韦拉,伊什蒂雅克·艾哈迈德,普拉迪普·贾亚拉扬,阿尼尔·卡巴里·欣德,拉马·萨斯特里·坎布汉普蒂,戈皮纳德·比拉普涅尼,文卡特斯瓦卢·贾斯蒂. 作为α<sub>4</sub>β<sub>2</sub>烟碱型乙酰胆碱受体配体的双环化合物[P]. 印度：CN102741239A,2012-10-17.

[90]黄宏靓,刘云军,梁振华,林敢建. 一种钌金属配合物的合成方法[P]. 广东：CN102731577A,2012-10-17.

[91]L·贝纳特伊尔,E·R·博黑尔特,J·古,M·哈里斯,J·A·希克森,C-M·谢,Y·库茨科瓦,Y·李,Z·刘,S·摩根-莱普. 治疗用DLL4结合蛋白[P]. 美国：CN102741288A,2012-10-17.

[92]成岱,张国宝,韩东,W·高,潘世风. 用作WNT信号调节剂的N-(杂)芳基、2-(杂)芳基取代的乙酰胺类[P]. 百慕大群岛：CN102731379A,2012-10-17.

[93]王明荣,刘一臻,徐昕,蒋炎熠. 蛋白组合物及其在制备肺癌诊断试剂盒中的应用[P]. 北京：CN102735844A,2012-10-17.

[94]陈志奎,林礼务,薛恩生,张秀娟,杨菁. 重组人血管内皮抑制素脂质微泡及其在制备超声介导下抑制肿瘤血管生成的药物中的应用[P]. 福建：CN102727893A,2012-10-17.

[95]P·拉姆布,D·马修斯. 使用吡啶并嘧啶酮PI3Kα抑制剂的治疗方法[P]. 美国：CN102727498A,2012-10-17.

[96]陈立新,吴圣贤,聂波. 对炎症因子表达具有抑制作用的药物组合物[P]. 北京：CN102727654A,2012-10-17.

[97]柳红,耿美玉,罗成,张登友,艾菁,梁中洁,王英,蒋华良,陈凯先. 新型胺基吡啶类化合物、其制备方法、包含此类化合物的药物组合物及其用途[P]. 上海：CN102718745A,2012-10-10.

[98]姜宁,陈启军,杜承,尹继刚,陆慧君. 可抑制恶性疟原虫侵入的抗Pf332-DBL区单克隆抗体[P]. 吉林：CN102718855A,2012-10-10.

[99]由振强,宣尧仙,辛艳飞,张立将,陈云祥,陈国灿,杨红忠,陈颖,周国亮,李峰,徐潘生. 一种重组染色质修饰蛋白1A及其编码基因和应用[P]. 浙江：CN102718856A,2012-10-10.

[100]吴佩仪,C.布卢姆,L.麦克弗森,R.B.珀尼,C.B.武,M.M.阿迈德,J.S.迪奇. 作为沉默调节蛋白调节剂的双环吡啶和相关的类似物[P]. 美国：CN102725291A,2012-10-10.

[101]孙正范,丁承贤,崔华逸,郑煐熹,崔载律,宋芝连,李圭恒,李在哲,金银英,安永吉,金孟燮,崔焕根,沈台辅,咸泳搢,朴桐湜,金焕,金东煜. 对蛋白激酶有抑制活性的噻吩并[3,2-d]嘧啶衍生物[P]. 韩国：CN102725296A,2012-10-10.

[102]Z·厄普顿,D·范隆科胡伊恩. 纤连蛋白:生长因子嵌合物[P]. 澳大利亚：CN102725308A,2012-10-10.

[103]金仁山,李炳宪,呂瑞梅,梁祥发,柯怡如,罗雅勤,张瓈文,魏明正. 含有标记有特异标靶白细胞介素-4受体的缩氨酸的脂质体的癌症诊断或治疗用靶向药物传输系统及其制造方法[P]. 韩国：CN102724966A,2012-10-10.

[104]谢守德,严素芳,李希,欧亚龙,张嵩,陈东辉,冯建安. 一种治疗乳癖的药物组合物及其制备方法和用途[P]. 四川：CN102716424A,2012-10-10.

[105]C·刘. 靶向TNF家族受体并拮抗TNF作用的肽、组合物、方法及其用途[P]. 美国：CN102724993A,2012-10-10.

[106]卡尔-赫尔曼·施林根西彭,弗兰克·亚申斯基,塔尼亚·罗特哈马尔,安内利泽·施奈德尔. 化疗药剂和TGF-β系统抑制剂的组合[P]. 德国：CN102712924A,2012-10-03.

[107]W.李,J.P.利西卡托斯,Z.裴,K.D.罗巴格. N-7 取代的嘌呤和吡唑并嘧啶化合物、组合物和使用方法[P]. 瑞士：CN102712642A,2012-10-03.

[108]王少萌,余尚海,孙威,S.库玛,孙笃新,P.邹,赵玉军,D.麦凯克伦. 螺-吲哚酮MDM2拮抗剂[P]. 美国：CN102712650A,2012-10-03.

[109]M.米歇尔斯,H.布里姆,A.瓦卡洛波洛斯,K.齐默曼,N.托伊施. 呋喃并吡啶基-取代的1,4-二氢吡啶衍生物及其使用方法[P]. 德国：CN102712653A,2012-10-03.

[110]沈台辅,崔焕根,河廷美,咸泳搢,田恩镇,李贞宪,金焕. 作为蛋白激酶抑制剂的2,7-取代的噻吩并[3,2-D]嘧啶化合物[P]. 韩国：CN102712656A,2012-10-03.

[111]张振中,王蕾,史进进,高岩,李璐璐,张红岭. 一种水溶性碳纳米管及其制备应用方法[P]. 河南：CN102701186A,2012-10-03.

[112]徐玉芳,赵振江,黄瑾,朱维平,刘莉,王立言,杨春梅,朱伟龙,张辰,李洪林. 磺酰胺类化合物及其用途[P]. 上海：CN102702057A,2012-10-03.

[113]唐锋,沈晗,金秋,丁磊,杨洁,殷晓进,卢是玥. 3-吡咯并环己亚基-2-二氢吲哚酮衍生物及其用途[P]. 江苏：CN102702068A,2012-10-03.

[114]戴维·班纳,沃尔夫冈·古帕,汉斯·希尔珀特,哈拉尔德·莫塞,亚历山大·V·迈韦格,罗伯特·纳尔基齐昂,伊曼纽尔·皮纳德,约恩·鲍尔,马克·罗杰斯-埃文斯,托马斯·沃尔特林,沃尔夫冈·沃斯特. 作为BACE1和/或BACE2抑制剂的2-氨基-5,5-二氟-5,6-二氢-4H-噁嗪类[P]. 瑞士：CN102712609A,2012-10-03.

[115]B·C·巴拉姆,S·L·德戈尔斯,C·M·P·兰伯特-范德布伦普特,R·R·莫根廷,P·普勒. 具有抗肿瘤活性的色烯酮衍生物[P]. 瑞典：CN102712615A,2012-10-03.

[116]康拉德·辈莱切,亚历山大·弗洛尔,卡特里·格勒布科茨宾登,马蒂亚斯·克尔纳,贝恩德·库恩,延斯-乌韦·彼得斯,罗莎·马丽亚·罗得里格斯萨尔米恩托,埃里克·维埃拉. 含氮杂芳基衍生物[P]. 瑞士：CN102712625A,2012-10-03.

[117]S.格拉德尔,E.莱尔德,D.莫雷诺,R.李,S.M.温格洛斯基. 用于抑制RAF激酶的1H-吡唑并[3,4-B]吡啶化合物[P]. 美国：CN102712635A,2012-10-03.

[118]崔玉东,佟春玉,马金柱,朱战波. 大肠埃希氏菌OmpT抗体间接ELISA检测方法[P]. 黑龙江：CN102707054A,2012-10-03.

[119]郭亚军,王皓,李博华,寇庚,高洁. 一种内包裹免疫毒素外连接抗体的聚乳酸-羟基乙酸共聚物纳米颗粒[P]. 上海：CN102697733A,2012-10-03.

[120]郑灿辉,周有骏,朱驹,吕加国,宋云龙,张猛,陆士海,李唯. 一类木犀草素类似黄酮类化合物在制备抗肿瘤药物中的用途[P]. 上海：CN102697768A,2012-10-03.

[121]吴鸿明. 治疗或防治激素变异症状的方法[P]. 台湾：CN102697785A,2012-10-03.

[122]塔马斯·奥拉韦茨. 用于癌症治疗的色氨酸羟化酶抑制剂[P]. 美国：CN102711749A,2012-10-03.

[123]K.H.L.劳,W.李,J.P.利西卡托斯,Z.裴,K.D.罗巴奇. N-9-取代的嘌呤化合物、组合物和使用方法[P]. 瑞士：CN102711766A,2012-10-03.

[124]韩长熙,李京镇,李善姬,朱炫美. 抑制白细胞渗出或者癌细胞生长和/或转移的多肽或其融合蛋白[P]. 韩国：CN102711792A,2012-10-03.

[125]W·斯特罗尔,O·瓦法. 效应子功能已消除的抗体Fc区突变体[P]. 美国：CN102711810A,2012-10-03.

[126]纳齐拉·卡马利,塔米·路易斯·卡尔贝,加文·戴维·肯尼,马娅·萨努,安德鲁·戴维·米勒,吉米·贝尔. 用于肿瘤磁共振成像的脂质体纳米颗粒[P]. 英国：CN102711840A,2012-10-03.

[127]柏旭,项金宝,裴亚中. 新颖嘧啶并环化合物作为细胞因子抑制剂[P]. 吉林：CN102690278A,2012-09-26.

[128]周胜军,翁文锃,杨鹤,沈玲,马国昌,王同映. 一种戈舍瑞林多肽的纯化生产方法[P]. 浙江：CN102690329A,2012-09-26.

[129]S·霍尔沃特,A·梅赛尼尔,A·齐歇尔,A·辛格. 包含乳球菌属菌株并且特别是在婴儿和儿童中减少过敏症状的营养组合物[P]. 瑞士：CN102695427A,2012-09-26.

[130]M·M·加纳,C·L·潘普林三世. 治疗性维生素D防晒制剂及其使用方法[P]. 美国：CN102695418A,2012-09-26.

[131]赵镭. 含有雷公藤甲素及雷公藤甲素类衍生物和Bcl-2抑制剂的药物组合物及其应用[P]. 香港：CN102688489A,2012-09-26.

[132]S·切莎洛夫,A·坎特,李力,N·卢克沙,N·沃恩. 小模块免疫药物的冻干制剂[P]. 美国：CN102695499A,2012-09-26.

[133]赵晓航,许杨,刘芳,乔媛媛,马首智. 一种改进的免疫共沉淀技术方法[P]. 北京：CN102692505A,2012-09-26.

[134]汤震环. 一种具有抗癌作用的中草药剂及制备方法[P]. 河北：CN102688312A,2012-09-26.

[135]郝旭亮. 一种用于治疗乳腺增生的药物[P]. 山西：CN102688374A,2012-09-26.

[136]刘榜,王凤丽,邱海芳,徐学文,彭中镇. 与猪白细胞数相关的分子标记及应用[P]. 湖北：CN102676507A,2012-09-19.

[137]玛利亚·比阿特丽斯·赫雷拉桑切斯,瓦伦丁娜·丰萨托,奇罗·泰塔,乔瓦尼·卡穆西. 用于治疗处理肿瘤疾病的成体干细胞衍生的条件培养基和/或成体干细胞[P]. 德国：CN102686723A,2012-09-19.

[138]张强,朱红文. 新的喹唑啉衍生物[P]. 美国：CN102686581A,2012-09-19.

[139]尼尔斯·乔纳斯·海尔斯考·格拉弗森,皮亚·斯文森,彼得·阿斯楚普·克里斯滕森,马切伊·波格丹·马涅克基,索伦·克拉格·莫斯楚普,霍尔格·乔恩·默勒,加布里埃尔·安东. 靶向CD163受体的偶联物[P]. 丹麦：CN102686612A,2012-09-19.

[140]邵志宇,宋云龙. 吉西他滨衍生物及其制备方法和用途[P]. 上海：CN102675390A,2012-09-19.

[141]刘清. 一种肌底液及其制备方法[P]. 四川：CN102670444A,2012-09-19.

[142]李永福,金德中,安昌浩. 用于抗癌剂递送的聚合物系统[P]. 美国：CN102686243A,2012-09-19.

[143]E·马尔万,程柯. 用于具有增强的细胞滞留的靶向细胞递送的外部磁力[P]. 美国：CN102686264A,2012-09-19.

[144]孙兵,王战会,陈爱中,边超,马轶凡,陈坦. 检测单细胞特异性抗体分泌的细胞微孔芯片及其制备方法[P]. 上海：CN102680679A,2012-09-19.

[145]门诺·凡卢克伦·康帕涅,克里斯蒂安·维斯曼. 因子D和抗因子D抗体的共晶结构[P]. 瑞士：CN102666850A,2012-09-12.

[146]查亚·布鲁迪,西蒙·斯拉文. 用于多能性基质细胞的神经元分化的方法、系统和组合物[P]. 以色列：CN102666855A,2012-09-12.

[147]田原知幸,金井好克,远藤仁,片冈之郎,长谷川和正,吉野哲也. 新型抗CD98抗体[P]. 日本：CN102659947A,2012-09-12.

[148]F·施蒂贝尔,D·维恩克. 鞘氨醇激酶抑制剂[P]. 德国：CN102666489A,2012-09-12.

[149]I.阿利亚加斯,S.格拉德尔,J.冈兹纳,S.马蒂厄,R.普尔克,J.鲁道夫,文朝阳. RAF抑制剂化合物及其使用方法[P]. 美国：CN102666498A,2012-09-12.

[150]T·海因里希,H·库尔曼. 用于治疗诸如癌症这样的疾病的噻唑衍生物[P]. 德国：CN102666509A,2012-09-12.

[151]乌岱·R·凯尔,马亨德拉·德维查德·朝蒂亚. 对疾病治疗有用的新颖的MEK抑制剂[P]. 美国：CN102666512A,2012-09-12.

[152]R·L·哈克布,P·A·罗伊德勒. 用于治疗特别是病毒感染的嘌呤或脱氮嘌呤的衍生物[P]. 美国：CN102666541A,2012-09-12.

